ID,Y
5972,2006.0
57116,1992.0
29076,1998.0
83358,2004.0
84664,2006.0
17164,1999.0
15703,2007.0
94703,2002.0
4494,2006.0
62639,2005.0
390,2006.0
62391,1993.0
18989,2005.0
49756,2009.0
49414,2006.0
59861,1993.0
55405,1990.0
33835,1998.0
45723,1999.0
53737,2005.0
72512,1995.0
55312,2003.0
58750,2003.0
34512,1993.0
12385,2002.0
47535,2011.0
1033,2001.0
4116,2008.0
19497,1993.0
50936,1999.0
44073,1990.0
13733,2006.0
60693,2004.0
86822,2006.0
59976,1996.0
67459,2008.0
72060,2013.0
15411,2003.0
2066,1993.0
53516,2001.0
20393,2000.0
32790,2002.0
42934,2005.0
79599,2006.0
24730,1992.0
61839,2008.0
33717,1989.0
62038,2005.0
86174,2008.0
57944,1995.0
3887,2005.0
2516,2004.0
76583,2010.0
25597,2005.0
15239,1998.0
90042,2002.0
95928,1996.0
54829,1989.0
21540,1991.0
4963,2002.0
34515,2002.0
13016,2006.0
17015,1995.0
41843,1985.0
492,2008.0
12603,1995.0
72096,2006.0
2658,2007.0
18011,1998.0
35857,1989.0
22843,2000.0
57530,1999.0
37765,1995.0
74770,2005.0
63032,1997.0
45407,2002.0
68861,2001.0
60427,1999.0
2248,2000.0
29125,2010.0
45382,1996.0
1691,2007.0
95158,2006.0
22949,2002.0
82480,2000.0
86867,2009.0
83924,2009.0
45665,2004.0
28281,1991.0
346,2010.0
79891,2004.0
70041,1993.0
84169,2011.0
70133,2007.0
8302,2002.0
74740,1991.0
70050,1996.0
57823,1989.0
79961,2007.0
18209,2009.0
51986,1996.0
80749,2002.0
46741,2009.0
19661,2006.0
34452,1992.0
85471,2001.0
20958,2005.0
59085,1998.0
58552,1998.0
1658,2001.0
54162,2010.0
46922,1994.0
54933,2008.0
49164,2009.0
50575,2001.0
96260,2007.0
68367,2008.0
66051,2003.0
63764,2005.0
78958,1998.0
58766,2006.0
9658,1990.0
57458,2010.0
56037,2006.0
50217,2001.0
23112,1996.0
46887,2007.0
30808,2000.0
64098,2003.0
63404,2002.0
35298,1997.0
28682,2002.0
80542,1990.0
80285,1999.0
79480,2006.0
30377,2004.0
75584,1997.0
41958,1996.0
42487,1996.0
73070,2004.0
34202,1998.0
44425,2004.0
33802,1993.0
42323,1991.0
95451,1997.0
95845,2000.0
28990,2010.0
79295,2011.0
17469,1997.0
19062,2000.0
19765,2000.0
19588,2007.0
1887,2009.0
55469,2009.0
29349,2001.0
58174,2005.0
59243,1994.0
238,1994.0
21892,1990.0
49598,1999.0
72440,2001.0
76136,1998.0
74701,2002.0
67315,2004.0
63434,1999.0
11196,1997.0
63137,1999.0
22653,1989.0
1631,2000.0
14551,1997.0
90686,2010.0
25930,2008.0
7615,2008.0
86630,2010.0
78478,2003.0
75476,2002.0
40303,2006.0
93561,1997.0
94329,2009.0
45568,2005.0
87119,2008.0
26662,2000.0
48238,2008.0
13535,2000.0
42468,2006.0
22534,2009.0
69445,1988.0
39439,2005.0
6230,2002.0
51514,1991.0
23631,2007.0
48765,2004.0
8707,1997.0
66901,2010.0
82684,1987.0
14956,2005.0
40672,1987.0
87850,2008.0
45748,1993.0
75757,2006.0
66311,2002.0
89509,2009.0
34959,2001.0
25168,1991.0
49651,1992.0
24721,1996.0
43447,2002.0
79964,2010.0
30699,1999.0
10792,2000.0
4604,2001.0
23377,2001.0
80284,2003.0
23136,1998.0
45315,2007.0
41735,2008.0
46601,1987.0
62102,2010.0
83416,2005.0
2986,2007.0
46446,2004.0
5523,2005.0
16224,2003.0
57618,2003.0
87569,2008.0
17779,1999.0
66913,2010.0
33052,1999.0
54412,1987.0
5235,2004.0
56123,1995.0
42491,1999.0
50511,1991.0
79795,2008.0
63609,2008.0
73862,2008.0
41155,1986.0
89902,2011.0
67269,1994.0
55907,2002.0
38000,2002.0
57189,2006.0
61231,2000.0
29004,2006.0
55926,2002.0
8530,2002.0
80075,2007.0
79439,1992.0
61269,2008.0
30219,2004.0
39147,2004.0
8295,2004.0
70026,1994.0
44355,1998.0
69111,2006.0
22230,1997.0
7020,1989.0
11088,1991.0
80496,2002.0
10914,1996.0
13307,2002.0
73068,2004.0
47126,1995.0
90375,1994.0
5959,2010.0
50376,1997.0
74055,2009.0
19050,1999.0
72238,2000.0
64775,2001.0
40598,1984.0
56730,1999.0
54083,2006.0
86122,2000.0
46208,2004.0
13452,2005.0
86200,2007.0
26575,2008.0
91578,1994.0
26981,1995.0
72919,2007.0
28657,2000.0
87286,1999.0
89,2005.0
82144,2001.0
51875,1997.0
70100,2010.0
53065,2000.0
63099,1987.0
18005,1999.0
59839,2006.0
717,2007.0
73234,1997.0
60098,2008.0
95069,2010.0
89472,2008.0
42448,2007.0
18970,2005.0
96021,2001.0
80171,2000.0
16145,1996.0
13138,2006.0
84514,2001.0
80349,2009.0
79274,2010.0
2975,2003.0
30596,1997.0
68640,1997.0
4410,1995.0
88157,2004.0
59540,2001.0
72063,2008.0
57960,1999.0
6731,1991.0
96346,2001.0
37742,2005.0
88854,2005.0
41184,2011.0
21944,2010.0
52549,1992.0
48308,2002.0
510,2005.0
11564,2009.0
1853,1997.0
91240,1998.0
35196,2007.0
23865,2009.0
2402,1997.0
44898,1999.0
69917,2007.0
67293,2008.0
